,rv,cc
0,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02417175 -0.02453946 -0.0250889  ... -0.01656015 -0.01656225
 -0.01649794]"
1,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02088554 -0.02058082 -0.02040788 ... -0.01018599 -0.01126454
 -0.0123726 ]"
2,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02074979 -0.0205474  -0.02033436 ... -0.01067907 -0.01174456
 -0.01288924]"
3,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02623947 -0.0260389  -0.02575965 ... -0.01462575 -0.01316434
 -0.01163531]"
4,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.01837164 -0.01919125 -0.02055266 ... -0.02383945 -0.02365014
 -0.02336417]"
5,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02548556 -0.02514303 -0.0247376  ... -0.00877364 -0.00747684
 -0.007198  ]"
6,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.01973707 -0.02014726 -0.02070417 ... -0.01379631 -0.01406619
 -0.01427813]"
7,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.01973707 -0.02014726 -0.02070417 ... -0.01379631 -0.01406619
 -0.01427813]"
8,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02175366 -0.021034   -0.02073664 ... -0.01169184 -0.01209894
 -0.0125122 ]"
9,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02363438 -0.02282418 -0.02205181 ... -0.01110323 -0.01154594
 -0.01198512]"
10,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02623947 -0.0260389  -0.02575965 ... -0.01462575 -0.01316434
 -0.01163531]"
11,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02175366 -0.021034   -0.02073664 ... -0.01169184 -0.01209894
 -0.0125122 ]"
12,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.01837164 -0.01919125 -0.02055266 ... -0.02383945 -0.02365014
 -0.02336417]"
13,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02175366 -0.021034   -0.02073664 ... -0.01169184 -0.01209894
 -0.0125122 ]"
14,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.0267609  -0.02698034 -0.02715506 ... -0.0160811  -0.01567286
 -0.01533041]"
15,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.01973707 -0.02014726 -0.02070417 ... -0.01379631 -0.01406619
 -0.01427813]"
16,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.01910893 -0.01917675 -0.01911066 ... -0.012498   -0.01287905
 -0.01322497]"
17,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02016081 -0.01991597 -0.01990211 ... -0.02054837 -0.02107632
 -0.02173689]"
18,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.0267609  -0.02698034 -0.02715506 ... -0.0160811  -0.01567286
 -0.01533041]"
19,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.01837164 -0.01919125 -0.02055266 ... -0.02383945 -0.02365014
 -0.02336417]"
20,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02232597 -0.02232707 -0.02223413 ... -0.0152532  -0.01549087
 -0.01569782]"
21,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.0258921  -0.02578711 -0.02556481 ... -0.02494244 -0.02401999
 -0.02297741]"
22,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02016081 -0.01991597 -0.01990211 ... -0.02054837 -0.02107632
 -0.02173689]"
23,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.0218019  -0.02130394 -0.02073984 ... -0.00597785 -0.00717151
 -0.00859231]"
24,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02232597 -0.02232707 -0.02223413 ... -0.0152532  -0.01549087
 -0.01569782]"
25,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.01910893 -0.01917675 -0.01911066 ... -0.012498   -0.01287905
 -0.01322497]"
26,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02232597 -0.02232707 -0.02223413 ... -0.0152532  -0.01549087
 -0.01569782]"
27,[-1000.  -999.  -998. ...   997.   998.   999.],"[-0.02548556 -0.02514303 -0.0247376  ... -0.00877364 -0.00747684
 -0.007198  ]"
